name,category,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6
Gauguin,Cocktail Classics,Light Rum,Passion Fruit Syrup,Lemon Juice,Lime Juice,NA,NA
Fort Lauderdale,Cocktail Classics,Light Rum,Sweet Vermouth,Juice of Orange,Juice of a Lime,NA,NA
Apple Pie,Cordials and Liqueurs,Apple schnapps,Cinnamon schnapps,Apple slice,NA,NA,NA
Cuban Cocktail No. 1,Cocktail Classics,Juice of a Lime,Powdered Sugar,Light Rum,NA,NA,NA
Cool Carlos,Cocktail Classics,Dark rum,Cranberry Juice,Pineapple Juice,Orange curacao,Sour Mix,NA
John Collins,Whiskies,Bourbon whiskey,Fresh lemon juice,Simple Syrup,Soda water,"Orange and lemon wheels, maraschino cherry",NA
Cherry Rum,Cocktail Classics,Light Rum,cherry-flavored brandy,Light cream,NA,NA,NA
Casa Blanca,Cocktail Classics,Light Rum,Lime Juice,Triple Sec,Maraschino,NA,NA
Caribbean Champagne,Cocktail Classics,Light Rum,Creme de banana,Chilled Champagne,NA,NA,NA
Amber Amour,Cordials and Liqueurs,Amaretto,Fresh lemon juice,Simple Syrup,Soda water,NA,NA
The Joe Lewis,Whiskies,Scotch Whiskey,Fresh carrot juice,Tawny port,Fresh lemon juice,Agave nectar,NA
Bacardi Cocktail,Cocktail Classics,Bacardi Rum,Juice of a Lime,Grenadine,NA,NA,NA
Apple Pie No. 1,Cocktail Classics,Light Rum,Sweet Vermouth,Apple Brandy,Grenadine,Lemon Juice,NA
Yolanda,Cocktail Classics,Brandy,Gin,Anisette,Sweet Vermouth,Grenadine,NA
Yellow Rattler,Cocktail Classics,Gin,Orange Juice,Dry Vermouth,Sweet Vermouth,NA,NA
Why Not?,Cocktail Classics,Gin,Apricot Flavored Brandy,Dry Vermouth,Lemon Juice,NA,NA
Amaretto Stinger,Cordials and Liqueurs,Amaretto,White creme de menthe,NA,NA,NA,NA
What The Hell,Cocktail Classics,Gin,Dry Vermouth,Apricot Flavored Brandy,Lemon Juice,NA,NA
Webster Cocktail,Cocktail Classics,Juice of a Lime,Apricot Flavored Brandy,Dry Vermouth,Gin,NA,NA
Union Jack Cocktail,Cocktail Classics,Sloe gin,Gin,Grenadine,NA,NA,NA
Jocose Julep,Whiskies,Bourbon whiskey,Green creme de menthe,Fresh Lime Juice,Simple Syrup,Fresh mint leaves,Soda water
Trinity Cocktail,Cocktail Classics,Sweet Vermouth,Dry Vermouth,Gin,NA,NA,NA
Three Stripes Cocktail,Cocktail Classics,Gin,Dry Vermouth,Orange Juice,NA,NA,NA
Tanq-A-Rita,Cocktail Classics,Tanqueray gin,Margarita Mix,Triple Sec,NA,NA,NA
Amaretto Sour,Cordials and Liqueurs,Amaretto,Fresh lemon juice,Simple Syrup,Orange half-wheel,NA,NA
Tailspin Cocktail,Cocktail Classics,Gin,Sweet Vermouth,Green Chartreuse,Orange Bitters,NA,NA
Sweet Patootie Cocktail,Cocktail Classics,Gin,Triple Sec,Orange Juice,NA,NA,NA
Sunshine Cocktail,Cocktail Classics,Sweet Vermouth,Gin,Bitters,NA,NA,NA
Spring Feeling Cocktail,Cocktail Classics,Lemon Juice,Green Chartreuse,Gin,NA,NA,NA
Sphinx Cocktail,Cocktail Classics,Gin,Sweet Vermouth,Dry Vermouth,NA,NA,NA
Jitterbug Sour,Whiskies,Straight rye whiskey,Benedictine,Fresh lemon juice,Honey Syrup,Egg White,Angostura Bitters
Southern Gin Cocktail,Cocktail Classics,Gin,Orange Bitters,Triple Sec,NA,NA,NA
Society Cocktail,Cocktail Classics,Gin,Dry Vermouth,Grenadine,NA,NA,NA
Snyder,Cocktail Classics,Gin,Dry Vermouth,Triple Sec,NA,NA,NA
Smiler Cocktail,Cocktail Classics,Sweet Vermouth,Dry Vermouth,Gin,Bitters,Orange Juice,NA
Smile Cocktail,Cocktail Classics,Grenadine,Gin,Lemon Juice,NA,NA,NA
Amaretto Rose,Cordials and Liqueurs,Amaretto,Fresh lemon juice,Simple Syrup,Soda water,NA,NA
Sand-Martin Cocktail,Cocktail Classics,Green Chartreuse,Sweet Vermouth,Gin,NA,NA,NA
Irish Whiskey Highball,Whiskies,Irish Whiskey,Ginger ale or soda water,Lemon twist (optional),NA,NA,NA
Japanese,Brandy,Brandy,orgeat or almond syrup,Angostura Bitters,Lemon twist,NA,NA
Roselyn Cocktail,Cocktail Classics,Dry Vermouth,Gin,Grenadine,NA,NA,NA
Resolute Cocktail,Cocktail Classics,Juice of a Lemon,Apricot Flavored Brandy,Gin,NA,NA,NA
Racquet Club Cocktail,Cocktail Classics,Gin,Dry Vermouth,Orange Bitters,NA,NA,NA
Amaretto And Cream,Cordials and Liqueurs,Amaretto,half-and-half,NA,NA,NA,NA
Pollyanna Cocktai,Cocktail Classics,Orange,Pineapple,Gin,Sweet Vermouth,Grenadine,NA
Plaza Cocktail,Cocktail Classics,Sweet Vermouth,Dry Vermouth,Gin,NA,NA,NA
Irish Whiskey Cocktail,Whiskies,Irish Whiskey,Triple Sec,Anisette,Maraschino liqueur,Angostura Bitters,Green olive
Absinthe Special Cocktail,Cordials and Liqueurs,Absinthe,Simple Syrup,Orange Bitters,NA,NA,NA
Nineteenth Hole,Cocktail Classics,Gin,Dry Vermouth,Sweet Vermouth,Bitters,NA,NA
Montreal Club Bouncer,Cocktail Classics,Gin,Anisette,NA,NA,NA,NA
Monte Carlo Imperial Highball,Cocktail Classics,Gin,White creme de menthe,Juice of a Lemon,Chilled Champagne,NA,NA
Irish Shillelagh,Whiskies,Irish Whiskey,Light Rum,Sloe gin,Fresh lemon juice,Simple Syrup,"Fresh raspberries and strawberries, 2 peach slices, maraschino cherry"
Melon Cocktail,Cocktail Classics,Gin,Lemon Juice,Maraschino,NA,NA,NA
Martini (Medium),Cocktail Classics,Gin,Dry Vermouth,Sweet Vermouth,NA,NA,NA
Martini (Dry) (5-to-1),Cocktail Classics,Gin,Dry Vermouth,NA,NA,NA,NA
Mamie's Sister,Cocktail Classics,Juice of a Lime,Gin,Ginger ale,NA,NA,NA
Irish Rickey,Whiskies,Irish Whiskey,Fresh Lime Juice,Soda water,Lime wedge,NA,NA
